2025-06-06 17:36:48 | INFO     | __main__:<module>:148 | Starting Animal Guessing Game API server...
2025-06-06 17:36:53 | ERROR    | __main__:general_exception_handler:85 | Unexpected error: module 'datetime' has no attribute 'now'
2025-06-06 17:39:43 | INFO     | __main__:<module>:148 | Starting Animal Guessing Game API server...
2025-06-06 17:39:46 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/
2025-06-06 17:39:46 | INFO     | __main__:dispatch:27 | Request completed: 404 (0.00s)
2025-06-06 17:41:37 | INFO     | __main__:<module>:153 | Starting Animal Guessing Game API server...
2025-06-06 17:41:40 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/
2025-06-06 17:41:40 | INFO     | __main__:dispatch:27 | Request completed: 404 (0.01s)
2025-06-06 17:41:41 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/
2025-06-06 17:41:41 | INFO     | __main__:dispatch:27 | Request completed: 404 (0.01s)
2025-06-06 17:44:25 | INFO     | __main__:<module>:153 | Starting Animal Guessing Game API server...
2025-06-06 17:44:31 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/
2025-06-06 17:44:31 | INFO     | __main__:dispatch:27 | Request completed: 404 (0.01s)
2025-06-06 17:47:23 | INFO     | __main__:<module>:157 | Starting Animal Guessing Game API server...
2025-06-06 17:47:28 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/
2025-06-06 17:47:28 | INFO     | __main__:dispatch:27 | Request completed: 200 (0.18s)
2025-06-06 17:47:28 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/static/style.css
2025-06-06 17:47:28 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/static/Guess-game.app.js
2025-06-06 17:47:28 | INFO     | __main__:dispatch:27 | Request completed: 200 (0.01s)
2025-06-06 17:47:28 | INFO     | __main__:dispatch:27 | Request completed: 200 (0.01s)
2025-06-06 17:47:28 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/sounds/bgm.mp3
2025-06-06 17:47:28 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/sounds/correct.mp3
2025-06-06 17:47:28 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/sounds/wrong.mp3
2025-06-06 17:47:28 | INFO     | __main__:dispatch:27 | Request completed: 206 (0.07s)
2025-06-06 17:47:28 | INFO     | __main__:dispatch:27 | Request completed: 206 (0.01s)
2025-06-06 17:47:28 | INFO     | __main__:dispatch:27 | Request completed: 206 (0.01s)
2025-06-06 17:47:28 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/sounds/press.mp3
2025-06-06 17:47:28 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/sounds/end.mp3
2025-06-06 17:47:28 | INFO     | __main__:dispatch:27 | Request completed: 206 (0.01s)
2025-06-06 17:47:28 | INFO     | __main__:dispatch:27 | Request completed: 206 (0.01s)
2025-06-06 17:47:28 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/favicon/favicon.png
2025-06-06 17:47:28 | INFO     | __main__:dispatch:27 | Request completed: 200 (0.01s)
2025-06-06 17:47:38 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/images/can we get much higher.jpg
2025-06-06 17:47:38 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/images/ksabar.jpg
2025-06-06 17:47:38 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/images/jikaaa.jpg
2025-06-06 17:47:38 | INFO     | __main__:dispatch:27 | Request completed: 200 (0.01s)
2025-06-06 17:47:38 | INFO     | __main__:dispatch:27 | Request completed: 200 (0.01s)
2025-06-06 17:47:38 | INFO     | __main__:dispatch:27 | Request completed: 200 (0.01s)
2025-06-06 17:47:38 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/sounds/bgm.mp3
2025-06-06 17:47:38 | INFO     | __main__:dispatch:27 | Request completed: 206 (0.01s)
2025-06-06 17:47:49 | INFO     | __main__:dispatch:22 | Request started: POST http://localhost:8000/api/speech
2025-06-06 17:47:49 | INFO     | __main__:process_speech:120 | Processing audio file: recording.wav
2025-06-06 17:47:49 | ERROR    | audio_processor:validate_and_normalize:49 | Error processing audio file: file does not start with RIFF id
2025-06-06 17:47:49 | INFO     | __main__:dispatch:27 | Request completed: 422 (0.06s)
2025-06-06 17:47:54 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/
2025-06-06 17:47:54 | INFO     | __main__:dispatch:27 | Request completed: 200 (0.00s)
2025-06-06 17:54:18 | INFO     | __main__:<module>:157 | Starting Animal Guessing Game API server...
2025-06-06 17:54:20 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/
2025-06-06 17:54:20 | INFO     | __main__:dispatch:27 | Request completed: 200 (0.16s)
2025-06-06 17:54:21 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/static/style.css
2025-06-06 17:54:21 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/static/audio-converter.js
2025-06-06 17:54:21 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/static/Guess-game.app.js
2025-06-06 17:54:21 | INFO     | __main__:dispatch:27 | Request completed: 304 (0.07s)
2025-06-06 17:54:21 | INFO     | __main__:dispatch:27 | Request completed: 200 (0.07s)
2025-06-06 17:54:21 | INFO     | __main__:dispatch:27 | Request completed: 200 (0.06s)
2025-06-06 17:54:21 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/sounds/end.mp3
2025-06-06 17:54:21 | INFO     | __main__:dispatch:27 | Request completed: 206 (0.01s)
2025-06-06 17:54:21 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/favicon/favicon.png
2025-06-06 17:54:21 | INFO     | __main__:dispatch:27 | Request completed: 304 (0.00s)
2025-06-06 17:54:56 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/images/icikiwir.jpg
2025-06-06 17:54:56 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/images/sucipto.jpg
2025-06-06 17:54:56 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/images/uhahaha.jpg
2025-06-06 17:54:56 | INFO     | __main__:dispatch:27 | Request completed: 200 (0.01s)
2025-06-06 17:54:56 | INFO     | __main__:dispatch:27 | Request completed: 200 (0.01s)
2025-06-06 17:54:56 | INFO     | __main__:dispatch:27 | Request completed: 200 (0.01s)
2025-06-06 17:55:03 | INFO     | __main__:dispatch:22 | Request started: POST http://localhost:8000/api/speech
2025-06-06 17:55:03 | INFO     | __main__:process_speech:120 | Processing audio file: recording_2025-06-06T09-55-03-909Z.wav
2025-06-06 17:55:03 | DEBUG    | audio_processor:validate_and_normalize:38 | Audio metrics - Duration: 14.76s, Max amplitude: 21481, Average energy: 559.1486026422764
2025-06-06 17:55:03 | DEBUG    | audio_processor:is_silence:65 | Audio RMS: 23.646323237287366, Threshold: 500
2025-06-06 17:55:03 | INFO     | __main__:dispatch:27 | Request completed: 422 (0.04s)
2025-06-06 17:55:09 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/
2025-06-06 17:55:09 | INFO     | __main__:dispatch:27 | Request completed: 200 (0.00s)
2025-06-06 17:55:09 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/static/audio-converter.js
2025-06-06 17:55:09 | INFO     | __main__:dispatch:27 | Request completed: 304 (0.01s)
2025-06-06 17:55:09 | INFO     | __main__:dispatch:22 | Request started: GET http://localhost:8000/static/Guess-game.app.js
2025-06-06 17:55:09 | INFO     | __main__:dispatch:27 | Request completed: 304 (0.01s)
2025-06-06 18:18:20 | INFO     | __main__:<module>:163 | Starting Animal Guessing Game API server
2025-06-06 18:18:24 | INFO     | __main__:dispatch:24 | Request started: GET http://localhost:8000/
2025-06-06 18:18:24 | INFO     | __main__:dispatch:29 | Request completed: 404 (0.01s)
2025-06-06 18:20:40 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/
2025-06-06 18:20:41 | INFO     | main:dispatch:29 | Request completed: 200 (0.17s)
2025-06-06 18:20:41 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/static/style.css
2025-06-06 18:20:41 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/static/audio-converter.js
2025-06-06 18:20:41 | INFO     | main:dispatch:29 | Request completed: 404 (0.00s)
2025-06-06 18:20:41 | INFO     | main:dispatch:29 | Request completed: 404 (0.00s)
2025-06-06 18:20:41 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/static/Guess-game.app.js
2025-06-06 18:20:41 | INFO     | main:dispatch:29 | Request completed: 404 (0.00s)
2025-06-06 18:20:41 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/sounds/end.mp3
2025-06-06 18:20:41 | INFO     | main:dispatch:29 | Request completed: 206 (0.00s)
2025-06-06 18:20:41 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/favicon/favicon.png
2025-06-06 18:20:41 | INFO     | main:dispatch:29 | Request completed: 304 (0.00s)
2025-06-06 18:25:17 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/
2025-06-06 18:25:17 | INFO     | main:dispatch:29 | Request completed: 200 (0.16s)
2025-06-06 18:25:17 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/static/style.css
2025-06-06 18:25:17 | INFO     | main:dispatch:29 | Request completed: 200 (0.00s)
2025-06-06 18:25:17 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/static/audio-converter.js
2025-06-06 18:25:17 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/static/Guess-game.app.js
2025-06-06 18:25:17 | INFO     | main:dispatch:29 | Request completed: 200 (0.01s)
2025-06-06 18:25:17 | INFO     | main:dispatch:29 | Request completed: 200 (0.01s)
2025-06-06 18:25:20 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/images/masbro.jpg
2025-06-06 18:25:20 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/images/cukurukuk.jpg
2025-06-06 18:25:20 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/images/let me know.jpg
2025-06-06 18:25:20 | INFO     | main:dispatch:29 | Request completed: 200 (0.02s)
2025-06-06 18:25:20 | INFO     | main:dispatch:29 | Request completed: 200 (0.01s)
2025-06-06 18:25:20 | INFO     | main:dispatch:29 | Request completed: 200 (0.01s)
2025-06-06 18:25:30 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/
2025-06-06 18:25:30 | INFO     | main:dispatch:29 | Request completed: 200 (0.00s)
2025-06-06 18:25:33 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/images/kecwa ringan.jpg
2025-06-06 18:25:33 | INFO     | main:dispatch:29 | Request completed: 200 (0.00s)
2025-06-06 18:25:41 | INFO     | main:dispatch:24 | Request started: POST http://localhost:8000/api/speech
2025-06-06 18:25:41 | WARNING  | main:validation_exception_handler:173 | Validation error: [{'type': 'missing', 'loc': ('body', 'file'), 'msg': 'Field required', 'input': None}]
2025-06-06 18:25:41 | INFO     | main:dispatch:29 | Request completed: 400 (0.01s)
2025-06-06 18:25:46 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/.well-known/appspecific/com.chrome.devtools.json
2025-06-06 18:25:46 | INFO     | main:dispatch:29 | Request completed: 404 (0.00s)
2025-06-06 18:25:54 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/
2025-06-06 18:25:54 | INFO     | main:dispatch:29 | Request completed: 200 (0.00s)
2025-06-06 18:25:54 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/.well-known/appspecific/com.chrome.devtools.json
2025-06-06 18:25:54 | INFO     | main:dispatch:29 | Request completed: 404 (0.00s)
2025-06-06 18:26:05 | INFO     | main:dispatch:24 | Request started: POST http://localhost:8000/api/speech
2025-06-06 18:26:05 | WARNING  | main:validation_exception_handler:173 | Validation error: [{'type': 'missing', 'loc': ('body', 'file'), 'msg': 'Field required', 'input': None}]
2025-06-06 18:26:05 | INFO     | main:dispatch:29 | Request completed: 400 (0.00s)
2025-06-06 18:26:32 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/
2025-06-06 18:26:32 | INFO     | main:dispatch:29 | Request completed: 200 (0.00s)
2025-06-06 18:26:32 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/.well-known/appspecific/com.chrome.devtools.json
2025-06-06 18:26:32 | INFO     | main:dispatch:29 | Request completed: 404 (0.00s)
2025-06-06 18:26:32 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/favicon/favicon.png
2025-06-06 18:26:32 | INFO     | main:dispatch:29 | Request completed: 304 (0.00s)
2025-06-06 18:26:43 | INFO     | main:dispatch:24 | Request started: POST http://localhost:8000/api/speech
2025-06-06 18:26:43 | WARNING  | main:validation_exception_handler:173 | Validation error: [{'type': 'missing', 'loc': ('body', 'file'), 'msg': 'Field required', 'input': None}]
2025-06-06 18:26:43 | INFO     | main:dispatch:29 | Request completed: 400 (0.02s)
2025-06-06 18:27:40 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/
2025-06-06 18:27:40 | INFO     | main:dispatch:29 | Request completed: 200 (0.00s)
2025-06-06 18:27:40 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/static/style.css
2025-06-06 18:27:40 | INFO     | main:dispatch:29 | Request completed: 304 (0.00s)
2025-06-06 18:27:40 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/.well-known/appspecific/com.chrome.devtools.json
2025-06-06 18:27:40 | INFO     | main:dispatch:29 | Request completed: 404 (0.00s)
2025-06-06 18:32:34 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/
2025-06-06 18:32:34 | INFO     | main:dispatch:29 | Request completed: 200 (0.14s)
2025-06-06 18:32:34 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/style.css
2025-06-06 18:32:34 | INFO     | main:dispatch:29 | Request completed: 404 (0.00s)
2025-06-06 18:32:34 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/audio-converter.js
2025-06-06 18:32:34 | INFO     | main:dispatch:29 | Request completed: 200 (0.00s)
2025-06-06 18:32:34 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/Guess-game.app.js
2025-06-06 18:32:34 | INFO     | main:dispatch:29 | Request completed: 200 (0.00s)
2025-06-06 18:32:34 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/.well-known/appspecific/com.chrome.devtools.json
2025-06-06 18:32:34 | INFO     | main:dispatch:29 | Request completed: 404 (0.00s)
2025-06-06 18:46:41 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/
2025-06-06 18:46:41 | INFO     | main:dispatch:29 | Request completed: 404 (0.01s)
2025-06-06 18:46:41 | INFO     | main:dispatch:24 | Request started: GET http://localhost:8000/.well-known/appspecific/com.chrome.devtools.json
2025-06-06 18:46:41 | INFO     | main:dispatch:29 | Request completed: 404 (0.00s)
2025-06-06 18:51:17 | INFO     | main:<module>:121 | Successfully mounted static directory: sounds -> ../sounds
2025-06-06 18:51:17 | INFO     | main:<module>:121 | Successfully mounted static directory: images -> ../images
2025-06-06 18:51:17 | INFO     | main:<module>:121 | Successfully mounted static directory: favicon -> ../favicon
2025-06-06 18:51:17 | INFO     | main:<module>:121 | Successfully mounted static directory: static -> ../static
